Taxon	RSG.MB4	UNKG.MB2	LSG.MB6	LSG.MB9	EPRC.MB16	UNKG.MB31	LSG.MB20	LSG.MB7	LSG.MB4	UNKG.MB21	LSG.MB14	UNKG.MB32	EPRC.MB13	RSG.MB2	UNKG.MB6	LSG.MB10	UNKG.MB8	UNKG.MB14	LSG.MB16	LSG.MB8	EPRC.MB9	RSG.MB1	LSG.MB12	LSG.MB15	UNKG.MB35	UNKG.MB17	LSG.MB2	RSG.MB6	PZ.MB7	UNKG.MB27	UNKG.MB4	RSG.MB3	LSG.MB1	UNKG.MB28	EPRC.MB2	SZ.MB8	SZ.MB7	EPRC.MB14	PZ.MB4	UNKG.MB38	SZ.MB11	PZ.MB1	UNKG.MB25	EPRC.MB15	SZ.MB6	EPRC.MB17	EPRC.MB18	EPRC.MB8	EPRC.MB12	EPRC.MB4	PZ.MB9	UNKG.MB11	SZ.MB3	PZ.MB10	PZ.MB2	UNKG.MB12	UNKG.MB5	PZ.MB3	PZ.MB12	UNKG.MB18	EPRC.MB11	SZ.MB5	EPRC.MB3	UNKG.MB36	UNKG.MB37	UNKG.MB33	UNKG.MB15	SZ.MB1	UNKG.MB26	EPRC.MB7	LSG.MB5	UNKG.MB23	UNKG.MB1	UNKG.MB16	UNKG.MB34	RSG.MB5	UNKG.MB20	UNKG.MB19	UNKG.MB10	UNKG.MB24	PZ.MB6	LFG.MB1	UNKG.MB13	EPRC.MB1	LSG.MB17	PZ.MB8	LSG.MB11	EPRC.MB10	UNKG.MB7	PZ.MB5	LSG.MB3	SZ.MB14	PZ.MB11	EPRC.MB5	SZ.MB13	UNKG.MB30	UNKG.MB3	RSG.MB7	LSG.MB19	SZ.MB2	LSG.MB18	UNKG.MB9	UNKG.MB22	LSG.MB13	UNKG.MB29	SZ.MB4	SZ.MB10	SZ.MB15	SZ.MB12	EPRC.MB6	SZ.MB9
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	0.0	0.0	0.0	0.0	0.0	1.91942263767e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__	0.0	0.0	0.0	0.0	2.19625757709e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00570325394954	0.0	0.0	0.0	0.0	0.0	0.0	0.000144745730001	0.00157002869363	0.0	0.000901181934768	0.0	0.00747375627567	0.000663658083355	0.0	2.1785068514e-05	0.000375033485133	0.0	0.0	0.0	0.0	1.63310633155e-05	0.00501139663409	0.0	0.000111362117789	0.000778416336806	0.00145574378909	1.39952136369e-05	0.0	0.000801010087297	9.12700223612e-05	0.0	0.0	0.000221344411905	0.00046562738634	1.77787259765e-05	0.0	0.0	0.0	0.000254647313471	0.0	4.3747402498e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00137906704511	0.0	0.0	0.0	0.0	0.000666589380941	0.0	1.6229287372e-05	0.0	0.000510513385023	0.0	0.000573655705343	0.0252166620073	0.0	0.000111353260264	0.0	0.0	0.0	0.0	0.000184067147695	0.0	0.0	0.0	0.0	0.0	4.49243025502e-05	4.10239579915e-05	0.0	0.0	0.0	0.000374151477898
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.0	1.5961946719e-05	1.63462795868e-05	1.38867672994e-05	0.0126943687956	0.0	0.0	0.0	2.94303750901e-05	0.0	0.0	1.37915816186e-05	0.00122018420845	0.0	1.66237220514e-05	0.0	0.0	0.0	0.0	0.0	0.0802505966587	1.71977918035e-05	2.11909302818e-05	0.0	0.0	0.0	0.0	1.69586378822e-05	0.0202634991747	0.0	0.0	0.0	9.6471087615e-05	0.0	0.0199271362332	0.000498568625559	0.00819302329778	0.0201163354338	0.010051644657	0.0	0.0265479993914	0.00196684122885	1.60087087376e-05	0.0141167243971	0.00376819358871	0.00776612584092	0.0316355353075	0.00920562970424	0.00140023824949	0.0103049009521	0.00671308583383	2.035002035e-05	0.000365904101308	0.0235843588002	0.0129257250724	1.39952136369e-05	0.0	0.0231342574365	0.0250840444789	0.0	0.000208822761681	0.0246713886808	0.00655603359967	0.0	1.43311645504e-05	1.78135632471e-05	0.0	0.0017825311943	0.0	0.0400288732856	0.0	0.0	0.0	0.0	0.0	0.0	2.043318349e-05	0.0	2.12071086228e-05	0.0	0.0166610541845	1.47939936386e-05	0.0	0.0057984026336	1.54459238207e-05	0.0138824484118	4.02317347924e-05	0.00134703085188	1.74782395917e-05	0.00368526849813	1.89487247508e-05	0.000472422345577	0.0146118721461	0.0490038182443	0.00060448912715	0.0	0.0	0.0	0.0	0.0174863790311	0.0	1.79713895478e-05	0.0	0.0	1.78839688104e-05	0.000329444885368	0.00789711191336	0.00178308881034	4.64975705019e-05	0.00634317728611	0.0029575783491
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47151875451e-05	1.66519574376e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.60687661646e-05	0.0	0.0	2.1785068514e-05	0.0018215912135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.54532438194e-05	0.0	0.0	0.0	0.0	2.71528843151e-05	0.0	0.0	0.0	8.51324661173e-05	0.00145275744538	0.0	0.0	0.0	0.0	0.000854887409509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.60356633152e-05	1.47939936386e-05	0.0	0.0	0.0	0.0	0.0	1.6229287372e-05	0.0	0.0	0.0	0.0	3.72751840462e-05	0.0	0.000381782606621	0.0	0.0	0.0	0.0	9.20335738477e-05	0.0	0.0	0.0	0.0	0.0	2.99495350335e-05	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__[Methanomassiliicoccaceae];g__vadinCA11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000338953077104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000814529825656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.39419121968e-05	0.0	0.0	0.000374683860493	0.0	0.0	0.000115934348035	3.19943689911e-05	0.0	0.0	0.000203646632364	0.000167328374329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.60356633152e-05	0.0	0.0	0.0	0.0	0.000217366102481	0.0	1.6229287372e-05	0.0	0.000143581889538	0.0	0.0	0.000111825552139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__AD3;c__ABS-6;o__;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.64464692483e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.89487247508e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__AD3;c__JG37-AG-4;o__;f__;g__	0.0	0.0	0.0	0.0	0.0	1.91942263767e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__;o__;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.12417014231e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.47436237541e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
