# Constructed from biom file
#OTU ID	RSG.MB4	UNKG.MB2	LSG.MB6	LSG.MB9	EPRC.MB16	UNKG.MB31	LSG.MB20	LSG.MB7	LSG.MB4	UNKG.MB21	LSG.MB14	UNKG.MB32	EPRC.MB13	RSG.MB2	UNKG.MB6	LSG.MB10	UNKG.MB8	UNKG.MB14	LSG.MB16	LSG.MB8	EPRC.MB9	RSG.MB1	LSG.MB12	LSG.MB15	UNKG.MB35	UNKG.MB17	LSG.MB2	RSG.MB6	PZ.MB7	UNKG.MB27	UNKG.MB4	RSG.MB3	LSG.MB1	UNKG.MB28	EPRC.MB2	SZ.MB8	SZ.MB7	EPRC.MB14	PZ.MB4	UNKG.MB38	SZ.MB11	PZ.MB1	UNKG.MB25	EPRC.MB15	SZ.MB6	EPRC.MB17	EPRC.MB18	EPRC.MB8	EPRC.MB12	EPRC.MB4	PZ.MB9	UNKG.MB11	SZ.MB3	PZ.MB10	PZ.MB2	UNKG.MB12	UNKG.MB5	PZ.MB3	PZ.MB12	UNKG.MB18	EPRC.MB11	SZ.MB5	EPRC.MB3	UNKG.MB36	UNKG.MB37	UNKG.MB33	UNKG.MB15	SZ.MB1	UNKG.MB26	EPRC.MB7	LSG.MB5	UNKG.MB23	UNKG.MB1	UNKG.MB16	UNKG.MB34	RSG.MB5	UNKG.MB20	UNKG.MB19	UNKG.MB10	UNKG.MB24	PZ.MB6	LFG.MB1	UNKG.MB13	EPRC.MB1	LSG.MB17	PZ.MB8	LSG.MB11	EPRC.MB10	UNKG.MB7	PZ.MB5	LSG.MB3	SZ.MB14	PZ.MB11	EPRC.MB5	SZ.MB13	UNKG.MB30	UNKG.MB3	RSG.MB7	LSG.MB19	SZ.MB2	LSG.MB18	UNKG.MB9	UNKG.MB22	LSG.MB13	UNKG.MB29	SZ.MB4	SZ.MB10	SZ.MB15	SZ.MB12	EPRC.MB6	SZ.MB9	KEGG_Pathways
1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation	2.0	10.0	16.0	10.0	79.0	19.0	11.0	42.0	45.0	41.0	30.0	11.0	12.0	1.0	8.0	12.0	4.0	3.0	24.0	10.0	16.0	6.0	26.0	18.0	24.0	29.0	11.0	12.0	36.0	14.0	2.0	13.0	18.0	2.0	3.0	17.0	8.0	22.0	56.0	7.0	9.0	4.0	12.0	8.0	2.0	19.0	12.0	76.0	10.0	32.0	6.0	2.0	18.0	18.0	12.0	4.0	36.0	26.0	6.0	8.0	15.0	1.0	14.0	14.0	9.0	11.0	10.0	0.0	13.0	29.0	14.0	12.0	2.0	14.0	10.0	2.0	20.0	9.0	10.0	12.0	8.0	21.0	1.0	6.0	22.0	9.0	37.0	18.0	9.0	4.0	15.0	17.0	28.0	8.0	10.0	18.0	1.0	2.0	12.0	5.0	15.0	2.0	13.0	21.0	12.0	16.0	6.0	6.0	17.0	34.0	12.0	Metabolism; Xenobiotics Biodegradation and Metabolism; 1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation
ABC transporters	1799899.0	2179847.0	2643948.0	2376785.0	1413270.0	1441935.0	1487323.0	2046804.0	2038183.0	1794062.0	1677406.0	2139842.0	1499218.0	2131823.0	2088212.0	1830678.0	2017421.0	1748997.0	1978255.0	2127936.0	1666009.0	1747483.0	2165472.0	1653255.0	1761498.0	2098660.0	2192552.0	1983565.0	1659717.0	1687409.0	1919548.0	2107487.0	1531469.0	1979701.0	1853268.0	1822569.0	1834584.0	1692657.0	1426175.0	1571653.0	1706675.0	2407527.0	2130292.0	1522239.0	1769689.0	1588852.0	1740429.0	1183059.0	1441844.0	2345426.0	1710674.0	1331910.0	1694437.0	1361663.0	1387915.0	2213736.0	2466329.0	1460273.0	1394135.0	1957542.0	1472175.0	1862512.0	1645641.0	1590165.0	2226663.0	1557290.0	1669381.0	1426524.0	1325636.0	1942764.0	1604868.0	1145627.0	1785918.0	2162187.0	1674391.0	1411520.0	1333724.0	1674242.0	1416193.0	1360015.0	1256089.0	1867246.0	1800911.0	1883877.0	1994482.0	1415495.0	2363379.0	1997848.0	1798525.0	1615082.0	1496992.0	1743728.0	1457219.0	1852687.0	2243760.0	1800060.0	2327450.0	1743818.0	1982214.0	1674720.0	1701916.0	1609794.0	1711709.0	1868560.0	1600760.0	1932338.0	1631875.0	929591.0	1220089.0	1475466.0	1440060.0	Environmental Information Processing; Membrane Transport; ABC transporters
Adherens junction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cellular Processes; Cell Communication; Adherens junction
Adipocytokine signaling pathway	29445.0	36500.0	44324.0	35038.0	18786.0	24240.0	27717.0	29602.0	35542.0	29953.0	26631.0	35744.0	22642.0	34930.0	32438.0	26744.0	35951.0	26286.0	34190.0	29978.0	15141.0	33830.0	16683.0	29112.0	30410.0	33607.0	34894.0	39066.0	36736.0	31252.0	33655.0	32933.0	27629.0	35118.0	21143.0	41754.0	22516.0	15850.0	31372.0	26152.0	20360.0	38969.0	32176.0	15859.0	35042.0	18989.0	24616.0	25459.0	21190.0	30126.0	37265.0	22923.0	35201.0	33561.0	37696.0	39040.0	30335.0	42444.0	37206.0	27896.0	21458.0	39246.0	33364.0	25376.0	38073.0	25133.0	28648.0	34234.0	23759.0	25351.0	32308.0	19873.0	29679.0	34361.0	30745.0	21468.0	21979.0	30992.0	20617.0	24898.0	38323.0	38477.0	31168.0	22405.0	34122.0	40824.0	37231.0	28149.0	31579.0	35018.0	30694.0	31234.0	28409.0	24470.0	36929.0	29429.0	31881.0	37673.0	38786.0	30710.0	30741.0	28839.0	27212.0	27614.0	27333.0	25649.0	34587.0	15927.0	33302.0	23818.0	28729.0	Organismal Systems; Endocrine System; Adipocytokine signaling pathway
African trypanosomiasis	1452.0	632.0	612.0	702.0	1299.0	474.0	836.0	760.0	849.0	617.0	639.0	1214.0	6757.0	788.0	1491.0	524.0	687.0	1249.0	711.0	606.0	340.0	2547.0	230.0	626.0	472.0	913.0	502.0	324.0	446.0	683.0	730.0	563.0	1093.0	456.0	3914.0	344.0	354.0	368.0	252.0	3548.0	395.0	77.0	484.0	2381.0	74.0	4262.0	3984.0	2698.0	6828.0	6930.0	105.0	944.0	131.0	188.0	162.0	1169.0	408.0	251.0	376.0	874.0	6632.0	81.0	316.0	602.0	913.0	652.0	1762.0	45.0	276.0	3780.0	738.0	401.0	1056.0	1543.0	612.0	1979.0	515.0	1571.0	611.0	248.0	191.0	1805.0	1139.0	4583.0	721.0	246.0	342.0	9075.0	1025.0	214.0	2012.0	392.0	114.0	11445.0	35.0	748.0	908.0	2060.0	2559.0	99.0	755.0	762.0	1034.0	1168.0	2980.0	109.0	369.0	271.0	209.0	2779.0	197.0	Human Diseases; Infectious Diseases; African trypanosomiasis
Alanine, aspartate and glutamate metabolism	480248.0	578208.0	766925.0	623752.0	403636.0	377104.0	397265.0	544188.0	541615.0	477547.0	440736.0	548711.0	413825.0	561078.0	551705.0	496424.0	550193.0	472195.0	517386.0	556849.0	479180.0	476278.0	583826.0	431595.0	464687.0	558471.0	611547.0	599342.0	476568.0	443188.0	529502.0	559210.0	414393.0	513773.0	558674.0	565686.0	498390.0	428839.0	391784.0	430430.0	482632.0	762613.0	565538.0	423004.0	489700.0	431727.0	480203.0	401200.0	401101.0	704052.0	464403.0	350401.0	535421.0	425890.0	465226.0	604458.0	641845.0	520466.0	461151.0	515507.0	392878.0	560086.0	473998.0	422105.0	588125.0	404109.0	440889.0	398975.0	344296.0	581535.0	429497.0	299936.0	477833.0	563147.0	436687.0	361851.0	350118.0	444774.0	378299.0	348962.0	432648.0	505781.0	487208.0	564455.0	527061.0	493245.0	595934.0	586792.0	492534.0	430025.0	401126.0	480130.0	411452.0	573502.0	593379.0	475198.0	625056.0	512984.0	543780.0	466014.0	445432.0	429789.0	451992.0	490507.0	427788.0	727846.0	505055.0	250719.0	409144.0	428554.0	374537.0	Metabolism; Amino Acid Metabolism; Alanine, aspartate and glutamate metabolism
Aldosterone-regulated sodium reabsorption	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Organismal Systems; Excretory System; Aldosterone-regulated sodium reabsorption
Alzheimer's disease	24764.0	27477.0	35060.0	29270.0	20086.0	19188.0	20356.0	25743.0	26875.0	23865.0	21267.0	26787.0	26084.0	27373.0	26792.0	24728.0	26431.0	24027.0	25108.0	26324.0	20378.0	25186.0	26189.0	21026.0	22863.0	27456.0	28947.0	29950.0	22553.0	22521.0	25613.0	26796.0	20890.0	24399.0	28668.0	26939.0	22417.0	22982.0	18907.0	23337.0	21313.0	36356.0	26664.0	21364.0	22580.0	31440.0	26853.0	21758.0	25390.0	38396.0	21890.0	17976.0	27526.0	19518.0	21783.0	29590.0	28992.0	23630.0	21024.0	24555.0	30495.0	25374.0	22615.0	21072.0	28481.0	20366.0	23200.0	18663.0	17005.0	29339.0	21539.0	15799.0	23151.0	27404.0	21396.0	21546.0	17768.0	22918.0	18734.0	17411.0	19802.0	26232.0	23877.0	30496.0	25522.0	22676.0	27929.0	36137.0	24564.0	20041.0	21667.0	23136.0	18343.0	35740.0	27074.0	23246.0	29485.0	26829.0	28764.0	21081.0	22474.0	21894.0	22746.0	23734.0	23002.0	37416.0	23510.0	12297.0	19688.0	24911.0	17793.0	Human Diseases; Neurodegenerative Diseases; Alzheimer's disease
Amino acid metabolism	85198.0	102917.0	122136.0	120746.0	60579.0	75046.0	70112.0	96259.0	109878.0	85524.0	84575.0	106664.0	101277.0	98513.0	94916.0	93708.0	96901.0	91889.0	97792.0	110469.0	66317.0	91629.0	100761.0	81710.0	88047.0	101824.0	107673.0	79146.0	79696.0	90019.0	88957.0	98159.0	73780.0	96423.0	108998.0	84978.0	90798.0	75505.0	74916.0	87893.0	88193.0	92521.0	101477.0	76614.0	81473.0	75685.0	112869.0	56366.0	100983.0	121814.0	79023.0	70418.0	74348.0	70373.0	74855.0	108673.0	116648.0	87804.0	77990.0	92645.0	88765.0	85974.0	76670.0	84433.0	106827.0	81566.0	91011.0	71093.0	70158.0	85576.0	82280.0	56213.0	81091.0	110313.0	82446.0	74303.0	67674.0	90619.0	70775.0	67187.0	75708.0	92201.0	90633.0	97736.0	96054.0	82304.0	114113.0	126996.0	88125.0	76911.0	80801.0	87861.0	68157.0	119294.0	99142.0	90843.0	99509.0	81076.0	105744.0	84155.0	81477.0	79760.0	84690.0	87725.0	92204.0	58655.0	79779.0	53646.0	54378.0	87302.0	75006.0	Unclassified; Metabolism; Amino acid metabolism
Amino acid related enzymes	736109.0	854089.0	1102977.0	928435.0	590664.0	580088.0	601773.0	811780.0	813009.0	728902.0	663409.0	828287.0	641643.0	836195.0	822342.0	751366.0	812929.0	706036.0	782060.0	831029.0	683044.0	715625.0	855323.0	653287.0	700671.0	842673.0	903851.0	894264.0	703978.0	682946.0	789242.0	840073.0	629717.0	771027.0	823055.0	811776.0	718531.0	684290.0	580107.0	647101.0	700802.0	1080996.0	842142.0	624041.0	701624.0	781286.0	734043.0	579737.0	616801.0	1032275.0	684111.0	540575.0	774000.0	610952.0	665051.0	901937.0	935712.0	731808.0	653693.0	764485.0	700571.0	799087.0	685197.0	644101.0	877209.0	624613.0	679482.0	580511.0	528840.0	837334.0	652196.0	471607.0	712468.0	843166.0	659057.0	588491.0	540683.0	669462.0	577723.0	537970.0	616066.0	771515.0	727627.0	841940.0	794788.0	696328.0	887508.0	888271.0	745406.0	636840.0	608251.0	707162.0	597955.0	863087.0	851936.0	717309.0	924828.0	764692.0	812566.0	669878.0	680208.0	664197.0	683805.0	735303.0	650092.0	1026141.0	719075.0	378969.0	582374.0	678579.0	553416.0	Metabolism; Amino Acid Metabolism; Amino acid related enzymes
