L1	L2	L3	Other	Description	KO
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"HK, hexokinase [EC:2.7.1.1]"	K00844
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"GCK, glucokinase [EC:2.7.1.2]"	K12407
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"glk, glucokinase [EC:2.7.1.2]"	K00845
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"GPI, pgi, glucose-6-phosphate isomerase [EC:5.3.1.9]"	K01810
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"pgi1, glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]"	K06859
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"tal-pgi, transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]"	K13810
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"pgi-pmi, glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]"	K15916
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"PFK, pfk, 6-phosphofructokinase [EC:2.7.1.11]"	K00850
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"FBP, fbp, fructose-1,6-bisphosphatase I [EC:3.1.3.11]"	K03841
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"glpX, fructose-1,6-bisphosphatase II [EC:3.1.3.11]"	K02446
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"glpX-SEBP, fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"	K11532
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"fbp3, fructose-1,6-bisphosphatase III [EC:3.1.3.11]"	K04041
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"ALDO, fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"	K01623
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"fbaB, fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"	K11645
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"FBA, fbaA, fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"	K01624
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"K01622, fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]"	K01622
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"K16305, fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]"	K16305
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"K16306, fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]"	K16306
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"TPI, tpiA, triosephosphate isomerase (TIM) [EC:5.3.1.1]"	K01803
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"pgk-tpi, phosphoglycerate kinase / triosephosphate isomerase [EC:2.7.2.3 5.3.1.1]"	K15330
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"GAPDH, gapA, glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"	K00134
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"GAPDHS, glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [EC:1.2.1.12]"	K10705
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"gap2, glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]"	K00150
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"PGK, pgk, phosphoglycerate kinase [EC:2.7.2.3]"	K00927
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"gpmA, PGAM, 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.1]"	K01834
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"gpmI, 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.1]"	K15633
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"gpmB, probable phosphoglycerate mutase [EC:5.4.2.1]"	K15634
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"apgM, 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.1]"	K15635
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"ENO, eno, enolase [EC:4.2.1.11]"	K01689
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"PK, pyk, pyruvate kinase [EC:2.7.1.40]"	K00873
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"PKLR, pyruvate kinase isozymes R/L [EC:2.7.1.40]"	K12406
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"aceE, pyruvate dehydrogenase E1 component [EC:1.2.4.1]"	K00163
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"PDHA, pdhA, pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]"	K00161
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"PDHB, pdhB, pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]"	K00162
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"DLAT, aceF, pdhC, pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"	K00627
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"DLD, lpd, pdhD, dihydrolipoamide dehydrogenase [EC:1.8.1.4]"	K00382
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"PDHX, dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex"	K13997
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"porA, pyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.1]"	K00169
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"porB, pyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.1]"	K00170
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"porD, pyruvate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.1]"	K00171
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"porG, pyruvate ferredoxin oxidoreductase, gamma subunit [EC:1.2.7.1]"	K00172
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"LDH, ldh, L-lactate dehydrogenase [EC:1.1.1.27]"	K00016
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"E4.1.1.1, pdc, pyruvate decarboxylase [EC:4.1.1.1]"	K01568
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"ADH1_7, alcohol dehydrogenase 1/7 [EC:1.1.1.1]"	K13951
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"ADH4, alcohol dehydrogenase 4 [EC:1.1.1.1]"	K13980
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"frmA, ADH5, adhC, S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"	K00121
