# Constructed from biom file																																																																																																																
#OTU ID	RSG.MB4	UNKG.MB2	LSG.MB6	LSG.MB9	EPRC.MB16	UNKG.MB31	LSG.MB20	LSG.MB7	LSG.MB4	UNKG.MB21	LSG.MB14	UNKG.MB32	EPRC.MB13	RSG.MB2	UNKG.MB6	LSG.MB10	UNKG.MB8	UNKG.MB14	LSG.MB16	LSG.MB8	EPRC.MB9	RSG.MB1	LSG.MB12	LSG.MB15	UNKG.MB35	UNKG.MB17	LSG.MB2	RSG.MB6	PZ.MB7	UNKG.MB27	UNKG.MB4	RSG.MB3	LSG.MB1	UNKG.MB28	EPRC.MB2	SZ.MB8	SZ.MB7	EPRC.MB14	PZ.MB4	UNKG.MB38	SZ.MB11	PZ.MB1	UNKG.MB25	EPRC.MB15	SZ.MB6	EPRC.MB17	EPRC.MB18	EPRC.MB8	EPRC.MB12	EPRC.MB4	PZ.MB9	UNKG.MB11	SZ.MB3	PZ.MB10	PZ.MB2	UNKG.MB12	UNKG.MB5	PZ.MB3	PZ.MB12	UNKG.MB18	EPRC.MB11	SZ.MB5	EPRC.MB3	UNKG.MB36	UNKG.MB37	UNKG.MB33	UNKG.MB15	SZ.MB1	UNKG.MB26	EPRC.MB7	LSG.MB5	UNKG.MB23	UNKG.MB1	UNKG.MB16	UNKG.MB34	RSG.MB5	UNKG.MB20	UNKG.MB19	UNKG.MB10	UNKG.MB24	PZ.MB6	LFG.MB1	UNKG.MB13	EPRC.MB1	LSG.MB17	PZ.MB8	LSG.MB11	EPRC.MB10	UNKG.MB7	PZ.MB5	LSG.MB3	SZ.MB14	PZ.MB11	EPRC.MB5	SZ.MB13	UNKG.MB30	UNKG.MB3	RSG.MB7	LSG.MB19	SZ.MB2	LSG.MB18	UNKG.MB9	UNKG.MB22	LSG.MB13	UNKG.MB29	SZ.MB4	SZ.MB10	SZ.MB15	SZ.MB12	EPRC.MB6	SZ.MB9	KEGG_Pathways
Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Environmental Information Processing; Signaling Molecules and Interaction; Cytokine-cytokine receptor interaction
Cytoskeleton proteins	221514	262925	350572	278771	177273	175782	183435	244246	249471	217525	199945	248769	151812	252543	246947	228861	255384	213431	235477	253015	200333	204633	248863	196175	214906	253769	278858	291276	192394	206898	243111	248162	187462	230641	229202	250576	207377	191073	156890	181026	196977	319836	252359	179207	215764	181457	194332	176021	144989	284267	188278	160700	225466	162070	174137	276628	276078	187438	169645	231624	158201	250484	211805	192066	268040	186703	200090	172643	158929	239564	201145	140890	219960	248695	202193	166254	161785	199575	173679	159751	154215	227446	221358	232999	239245	179633	264447	216175	224565	177143	177344	211552	165546	193934	259561	216146	284184	238613	238849	201558	206508	198278	208655	217942	181155	315851	226640	108496	187038	175735	155003	Cellular Processes; Cell Motility; Cytoskeleton proteins
Cytosolic DNA-sensing pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Organismal Systems; Immune System; Cytosolic DNA-sensing pathway
D-Alanine metabolism	49007	59059	73876	65485	40952	41806	41932	55094	57614	50598	47776	60120	41896	56363	55171	53260	56634	52365	56337	59837	46682	47865	57758	46846	49752	59383	62120	59179	53158	50264	54247	56438	43727	54745	55567	57558	48667	44990	40984	44133	46557	103745	57250	44701	50677	46435	46631	40629	40389	66913	52422	38934	71163	44416	47963	65800	61574	50070	44381	55101	38444	56457	48961	47358	61496	44930	49273	41235	37350	56190	48304	31762	50737	61387	47715	38048	39202	46639	40423	37671	42845	53731	53624	55423	55397	51148	62960	57860	50829	46012	41438	50879	42338	51725	61190	52027	62002	51776	55405	48246	48237	44738	49096	52152	46434	116742	49686	25349	41112	41291	40121	Metabolism; Metabolism of Other Amino Acids; D-Alanine metabolism
D-Arginine and D-ornithine metabolism	237	1758	1102	906	103	691	262	679	243	774	719	758	98	966	628	555	1176	330	841	883	322	120	1353	614	1026	1048	348	345	1243	251	407	791	250	759	110	1512	1934	2691	1370	321	1451	1486	1088	121	2226	593	170	212	91	240	1994	295	1563	881	1196	783	1652	471	392	846	871	2067	1583	643	873	476	492	1085	311	373	278	419	800	813	1030	492	454	271	285	631	543	332	540	484	618	463	1603	272	404	1926	300	2258	1396	98	4789	591	693	483	454	2260	564	308	422	982	456	818	1457	918	657	576	2062	Metabolism; Metabolism of Other Amino Acids; D-Arginine and D-ornithine metabolism
D-Glutamine and D-glutamate metabolism	67651	79437	104704	87804	58249	55481	56924	77325	81699	68385	64202	79994	58743	77124	76251	71346	76614	69122	75254	80202	68520	68181	79196	63021	66200	79070	85878	84203	68536	67292	74438	78891	59038	74051	79048	77226	67457	59884	56718	60209	67812	98895	79814	61723	69272	58881	71331	56759	56783	93213	65478	52164	73847	61885	65392	88412	84424	77613	68598	72794	51186	80523	67126	62997	83424	60480	65227	57636	50989	80290	64285	43602	66553	80416	62861	53086	51860	65673	54390	50802	64841	72747	71404	76970	75566	73093	84751	80724	69245	60694	59105	63681	59327	79216	82322	69495	85275	72895	77355	66789	64983	61322	66812	69339	62170	90083	70044	34908	56962	60724	53099	Metabolism; Metabolism of Other Amino Acids; D-Glutamine and D-glutamate metabolism
DNA repair and recombination proteins	1400348	1660678	2179737	1756719	1154376	1130082	1156368	1547303	1583848	1385886	1255416	1551887	1223837	1606539	1542825	1455067	1588868	1352962	1481034	1574003	1219301	1386442	1583951	1238681	1347949	1609755	1722825	1784176	1331091	1310911	1511162	1596876	1193210	1457966	1538174	1654446	1354361	1280360	1101012	1237237	1311760	2015925	1602891	1154810	1408337	1493524	1408975	1177876	1180087	1898957	1303761	1036705	1514198	1157174	1268513	1759056	1774392	1380786	1234222	1431680	1359410	1638919	1364292	1240225	1653984	1187454	1305117	1148557	1006250	1563685	1264499	905289	1344749	1587817	1258800	1133742	1035026	1283217	1103076	1024015	1159997	1479106	1413703	1576558	1505135	1312429	1676860	1689636	1437457	1209800	1185758	1357968	1141620	1625234	1699924	1372693	1718291	1528430	1591286	1335420	1300863	1279140	1297822	1386317	1240263	1942204	1453563	726412	1212683	1284673	1064800	Genetic Information Processing; Replication and Repair; DNA repair and recombination proteins
DNA replication	331833	382053	492552	411794	263546	271463	272515	363536	368490	331015	296390	364666	271493	370756	356675	346206	365559	317664	349675	369916	273191	314630	372593	292504	317591	379809	402258	417844	308544	312611	351859	374830	282629	342472	350850	383504	318123	307083	258211	282793	308472	457026	374402	260712	319704	385188	311793	258346	258106	427429	298682	248401	356839	273095	304996	413342	407430	335455	296364	337465	337264	369115	312724	297899	384576	285649	309995	265274	239931	347016	298757	219334	313400	372330	294206	274391	248845	294493	264137	244668	279329	347827	332659	360873	354218	315098	391733	376233	339306	280625	271418	320500	262795	348620	381232	325648	400214	347399	364793	303017	307997	307255	307246	326577	287401	446649	327785	171533	277233	308206	247004	Genetic Information Processing; Replication and Repair; DNA replication
DNA replication proteins	620726	719378	921569	781201	490799	508207	508985	674855	686188	622791	559998	692273	511931	696096	674454	643247	683787	592626	660195	699300	526356	588586	692990	551925	595892	712297	752548	771887	591498	588611	657792	702630	527340	648679	671092	716014	608203	587658	489323	530016	595429	901100	703665	497607	600089	697138	599008	479085	487303	808547	568609	464523	705052	522759	579598	769740	770210	635448	561750	635829	617496	698163	586658	560069	725854	537313	579785	498911	450909	655867	558605	408559	587061	700181	557613	510312	469310	553237	492986	459503	527287	650534	619391	678227	666939	596147	744512	703870	634385	532683	506022	610305	501687	663588	719143	614371	755199	645669	684031	577465	575188	573147	577678	609774	543246	891183	616487	329086	514200	576885	473057	Genetic Information Processing; Replication and Repair; DNA replication proteins
Dilated cardiomyopathy (DCM)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human Diseases; Cardiovascular Diseases; Dilated cardiomyopathy (DCM)
Dioxin degradation	33307	47068	66201	42761	26358	27865	29693	37283	41221	33841	31115	38915	18239	45071	36432	36611	46023	35516	37574	37828	27383	34149	35892	31458	36685	42385	47382	51366	37678	34139	42908	39688	29378	36742	29482	46889	29876	27887	27189	28247	27454	73503	39641	20685	42165	26208	28953	35039	17208	36631	37324	25164	51101	29434	29591	47991	47726	29025	26800	34676	18499	52977	40736	30015	44768	29210	31904	32817	26663	32562	34570	22434	37616	41016	34228	23414	25087	32804	26819	26556	25132	39972	38405	30016	38660	30355	41638	27227	38297	32505	29609	35157	31059	21790	48153	34167	40342	44431	39094	39075	34651	31582	30512	34412	27352	87340	46654	18099	37987	22816	25608	Metabolism; Xenobiotics Biodegradation and Metabolism; Dioxin degradation
Drug metabolism - cytochrome P450	8859	12728	24545	8217	17256	6463	12989	13608	21130	7096	6326	7188	31750	17039	10947	10298	13579	15230	6873	7759	28632	22394	9287	6125	7649	9649	12070	21289	6196	6530	12738	11818	7661	6478	24728	21790	5017	14101	3789	14306	5702	4214	11738	21115	15735	21718	49443	26288	34494	31329	5112	5284	7301	4530	3756	14224	12576	3821	4773	9593	26232	23182	16227	6303	9833	5283	9472	10127	4446	38480	9927	6121	8635	7571	5887	13596	5105	19674	5253	4749	2937	10862	10939	23296	8542	3370	5733	34098	11223	3881	22050	9186	6918	47060	17931	6986	10009	21128	27872	14481	8479	6529	10068	8158	12504	7399	18643	3340	19122	12773	4636	Metabolism; Xenobiotics Biodegradation and Metabolism; Drug metabolism - cytochrome P450
Drug metabolism - other enzymes	145024	172376	214740	189083	115038	120088	119504	161534	157390	149439	135885	168003	104873	161438	157725	152968	163762	141325	160541	168310	116633	132973	169429	133298	145181	172168	181295	172609	142766	141320	157673	168716	124267	156367	156479	170919	153223	136914	121917	123149	148715	205065	169338	114096	150585	142826	123829	106565	99073	182649	139957	109768	143863	131225	141942	181398	188170	159019	143202	154363	123413	169930	144160	134108	176506	129208	137055	125562	107640	138507	132165	95257	146389	170367	135832	111191	112576	126040	118382	110766	131506	153894	145683	151925	160940	148182	185080	151111	150215	130969	111969	156171	126340	128887	177589	148114	180855	145800	151943	146724	137869	134150	137093	148668	125066	170040	149737	81048	120071	128498	120916	Metabolism; Xenobiotics Biodegradation and Metabolism; Drug metabolism - other enzymes
ECM-receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Environmental Information Processing; Signaling Molecules and Interaction; ECM-receptor interaction
Electron transfer carriers	13629	16716	22016	13755	15801	10628	10762	17757	19885	12699	14076	16421	12428	16769	16217	12009	16570	14290	16511	13965	10553	12675	9610	13800	11717	16039	14940	16832	12498	13327	16367	14949	14254	14296	14019	15123	8001	8713	9865	12155	7211	12338	14761	14052	14768	9287	12667	11328	12846	11999	12574	12083	8376	9218	8891	23510	13647	8886	8792	14644	5345	17340	13484	11544	16202	11205	15350	11255	10530	17850	15843	9305	18225	20706	12495	8954	10117	13967	10651	9905	8833	15345	20716	10249	16115	8882	15510	11238	14494	11867	13200	7910	11113	13172	16973	13266	13996	14671	14580	12510	14656	11740	13475	19382	10721	8210	12021	4120	12365	9478	8514	Unclassified; Cellular Processes and Signaling; Electron transfer carriers
Endocrine and other factor-regulated calcium reabsorption	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Organismal Systems; Excretory System; Endocrine and other factor-regulated calcium reabsorption
Endocytosis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	24	0	0	0	104	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	Cellular Processes; Transport and Catabolism; Endocytosis
Energy metabolism	422888	499018	613938	545424	329350	345298	349134	460919	475955	424642	395494	495240	368977	478443	474940	427553	474836	413269	470006	492331	340561	409665	447020	391425	415564	485609	520534	502986	411708	412911	461122	479041	372423	459465	469253	498726	421776	372059	353957	385084	409471	557116	480802	346765	425133	381292	386147	324571	355423	587025	397918	325348	409104	379966	415226	537811	522780	482599	426377	447086	373435	473891	412417	384411	519271	368618	409699	362454	316559	448362	401305	272099	425733	500331	395621	324408	321588	390171	334334	321010	399501	461762	436136	466512	468603	444183	528605	502976	434018	383538	352961	439874	351982	473859	499241	428446	525751	437557	468446	404619	405718	387188	402632	427604	391712	466936	420040	223805	354020	378142	346838	Unclassified; Metabolism; Energy metabolism
Epithelial cell signaling in Helicobacter pylori infection	47788	58179	77029	61435	36339	36698	37418	52681	52680	45374	42183	52324	36126	54657	53864	48867	56154	44049	49674	54718	41175	45502	52943	41475	46219	53505	60290	58150	46649	42655	51538	53022	39522	49280	49710	53218	45938	38269	37568	41814	45035	74252	53890	36212	44795	35594	42320	36450	34769	63644	45439	34015	52528	40484	44443	58035	64313	49087	43405	47892	35240	52094	43715	39731	57039	38736	42672	36167	34138	50379	41302	29143	46360	54349	42662	34708	33115	42334	37153	33555	40888	48693	46919	51019	50932	46519	56055	52449	48206	41012	37677	46198	39018	51416	54136	45231	60536	50266	51033	42594	43044	42748	42771	46809	40077	71905	48482	24649	38631	40919	35964	Human Diseases; Infectious Diseases; Epithelial cell signaling in Helicobacter pylori infection
ErbB signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Environmental Information Processing; Signal Transduction; ErbB signaling pathway
Ether lipid metabolism	1033	1304	1936	1311	478	415	550	1943	1109	880	799	635	403	1578	1529	703	869	751	821	765	264	1178	1394	712	654	1020	1419	820	173	702	1540	1937	570	613	729	414	652	756	272	704	696	370	1086	435	420	380	912	113	421	951	198	290	223	279	250	833	3127	206	399	750	525	377	342	416	682	476	423	257	615	473	553	486	928	735	317	437	456	596	730	526	120	591	706	583	1265	156	840	373	1175	201	542	249	311	1193	523	752	1326	351	376	303	784	770	696	1059	563	170	263	157	243	377	175	Metabolism; Lipid Metabolism; Ether lipid metabolism
Ethylbenzene degradation	16754	22373	28404	23066	17137	18485	15001	15285	23068	17538	17541	21306	17949	19965	16890	20301	22453	22245	20400	22937	15819	16780	11402	16962	18677	18275	19953	28089	13824	20561	18381	15169	14202	17811	20818	33379	17313	20771	11149	17239	18275	12146	16498	16429	25599	21203	20544	25945	17628	24723	12497	15837	21059	13337	16355	28154	16979	17842	15815	18435	18804	33693	25458	20000	19913	17502	21065	18315	13510	25016	21171	11133	16360	20035	17605	15005	16235	16743	14380	12730	13330	19571	23062	22239	17825	15098	20008	25567	18181	10584	16023	23105	13149	24923	28768	20237	17453	24794	22203	24333	16914	15437	18760	16152	20209	17428	25174	9547	26237	15539	15546	Metabolism; Xenobiotics Biodegradation and Metabolism; Ethylbenzene degradation
Fat digestion and absorption	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Organismal Systems; Digestive System; Fat digestion and absorption
Fatty acid biosynthesis	245438	301164	398927	315279	207913	201614	207210	273940	280353	243974	222616	276450	222491	283575	271320	264200	286899	246305	260790	281562	201936	247703	274435	217694	242200	290687	307223	315215	242101	233712	269664	279673	211654	256318	283930	307058	244652	207110	185813	230135	233203	427249	282981	200944	257354	217439	246435	220603	216879	353043	233519	183114	296313	202741	229652	315542	318014	235425	208529	256434	221774	302608	250736	219818	293596	207233	233477	206138	174380	278611	230006	153372	246537	285023	226233	187808	181592	226766	195129	177065	192016	265906	254785	284746	265431	226435	295375	314057	258982	207958	211039	255016	196024	301027	305496	246793	299966	276657	292175	245422	230668	224023	231011	244521	226961	478852	270056	127587	225035	208810	186903	Metabolism; Lipid Metabolism; Fatty acid biosynthesis
Fatty acid elongation in mitochondria	614	27	6	82	302	2	4	1	2	6	1	50	6110	8	842	61	44	187	0	22	0	1927	5	0	24	0	36	10	160	2	178	20	455	0	3168	52	19	13	44	2848	218	2	1	1484	72	3718	2994	2166	6152	6212	8	374	7	2	8	10	6	8	46	0	6444	6	142	156	236	0	957	7	0	2955	2	6	2	234	0	1352	0	869	2	4	1	1068	5	4118	0	1	16	8410	378	24	1315	43	1	10934	270	121	350	1465	1526	12	1	320	0	2	2554	4	272	184	26	2448	39	Metabolism; Lipid Metabolism; Fatty acid elongation in mitochondria
Fatty acid metabolism	104747	124578	158895	132417	92200	87061	92291	117857	132944	105187	96262	120230	120724	122922	114715	111760	120279	110245	115069	119002	93666	119688	110567	96216	103602	121362	129368	126482	97959	105380	113865	121988	93005	111857	127940	125779	98380	101146	81971	103626	97547	132072	120862	97032	107355	110923	142660	103082	120270	147248	93907	80549	96543	81906	86811	135581	129238	95495	87981	107128	113795	124251	104321	96087	127405	91055	104461	95569	77517	130796	102452	68445	100454	122471	97114	88864	79967	110527	82282	78949	81392	117637	109439	127537	115428	91212	127558	153702	109462	89925	107333	102416	80878	149610	120374	105555	119962	119623	136450	105776	100536	95959	102144	105398	103859	116723	106090	53234	91776	104738	82346	Metabolism; Lipid Metabolism; Fatty acid metabolism
Fc epsilon RI signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Organismal Systems; Immune System; Fc epsilon RI signaling pathway
Fc gamma R-mediated phagocytosis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	24	0	0	0	104	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	Organismal Systems; Immune System; Fc gamma R-mediated phagocytosis
Flagellar assembly	270723	294276	268906	351184	119653	203542	246974	254962	264584	300893	281952	396889	166219	289102	335056	234342	294201	242309	359104	319553	239946	238232	240924	295500	293748	322719	336836	273485	309264	307246	305094	308361	271359	354643	241368	214074	248569	301041	265225	210666	223204	373803	313400	233920	270344	127871	150452	159550	143922	350950	315648	204550	302280	243905	241381	308661	242842	260175	247363	324664	127322	226993	258159	240334	407999	263645	251819	269774	229595	234494	270485	188242	298217	343473	313151	179581	218432	274404	188812	249532	248427	334835	234699	257282	340497	260143	425203	214341	244990	314061	225329	298585	235021	122858	317727	284250	396489	251036	258466	244044	291863	238987	289835	281837	248521	219014	192359	141796	133487	211037	267076	Cellular Processes; Cell Motility; Flagellar assembly
Flavone and flavonol biosynthesis	1824	1900	1631	2548	1767	562	853	1498	455	998	1442	2062	823	2492	3429	1618	1960	721	1632	2409	5884	536	1692	1329	1093	483	1378	2470	385	310	1568	1059	987	1897	1774	1557	1726	1889	396	398	1198	1064	1462	3342	2045	676	599	431	681	5303	577	583	985	142	556	1257	2665	143	577	2273	353	1094	1856	654	2182	913	757	888	569	5361	398	608	1977	1413	1152	1089	817	972	806	715	110	377	846	2670	1409	175	1722	1348	568	599	463	1118	787	2052	3207	927	4945	1153	630	1200	960	487	1437	1898	810	1051	574	524	857	466	976	Metabolism; Biosynthesis of Other Secondary Metabolites; Flavone and flavonol biosynthesis
Flavonoid biosynthesis	3163	5743	10277	3784	7382	3112	5282	4331	7515	2937	2393	2695	10685	7251	3819	3854	6046	5381	2760	3306	10706	7955	2184	2440	2996	3211	4284	9839	1952	1825	4028	3576	3152	2863	7442	11731	2851	4299	1058	4597	2846	1197	4425	6805	7382	8231	17175	11114	11530	10647	2001	2078	4182	1207	3487	6439	4617	1285	1040	4122	9577	11076	7318	2904	2807	1770	3398	4316	1286	15541	4016	2174	2450	3119	2615	4700	1976	6855	1690	1694	1189	4007	4974	8615	2814	874	2323	11930	4094	1363	8084	4564	2434	15755	7988	2602	3607	8892	12165	6283	2658	2748	3680	3192	4488	4306	8199	1287	9753	4035	1756	Metabolism; Biosynthesis of Other Secondary Metabolites; Flavonoid biosynthesis
Fluorobenzoate degradation	1416	162	197	215	2965	451	2069	1766	3505	314	288	492	14822	1420	1828	698	305	2348	244	347	5326	6288	1228	285	229	609	429	394	502	263	653	1211	1505	323	8280	445	75	1630	130	5778	490	13	1359	6075	243	8405	14680	4998	15524	13093	33	901	45	96	40	589	145	148	230	986	13817	163	559	633	739	316	2275	341	84	10740	902	601	282	832	61	4232	181	4722	103	308	74	2276	463	9120	461	104	370	17498	1153	81	6103	129	52	22868	460	389	899	3266	7198	386	649	740	1303	593	5159	42	576	324	211	5197	131	Metabolism; Xenobiotics Biodegradation and Metabolism; Fluorobenzoate degradation
Focal adhesion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular Processes; Cell Communication; Focal adhesion
Folate biosynthesis	159010	185049	259630	212829	128345	121068	137289	191147	178291	161592	144879	177147	187294	189962	182427	169103	171123	153012	168086	179192	148837	179232	220625	141092	149093	193583	208561	183115	152923	139517	175114	204596	145542	175194	218895	182708	169766	129547	136028	157616	165290	203737	203785	145321	147571	172345	200089	130486	185054	265725	146939	113976	130026	143895	163975	191923	224826	188357	163605	168531	180355	165439	143764	139964	193282	132443	143919	128408	112523	198453	135173	100875	151001	193323	139730	126813	112326	156894	126073	117815	157641	175408	154004	206499	178957	171451	200456	253067	170801	147370	148528	154303	136333	251819	176209	156321	202886	165065	209880	144039	145885	148429	144777	165272	153974	147448	160296	87168	126608	167322	120808	Metabolism; Metabolism of Cofactors and Vitamins; Folate biosynthesis
Fructose and mannose metabolism	422554	546480	751504	559766	342876	333840	347807	482345	459982	412056	376213	462732	387460	518779	487082	451223	515953	420139	438751	500095	389128	407800	561659	364105	413928	504524	548724	558982	388965	364790	471226	496579	350611	431579	498643	556787	481441	426506	332831	391379	443398	564265	511860	362459	482088	470180	413175	373478	390672	603479	403155	299869	409721	334764	360600	541885	616154	379923	352444	444113	417008	555304	456034	360964	515547	343167	383615	362109	292803	495561	358733	266353	422154	492942	377442	327509	300679	369011	346659	302317	314584	422413	435229	487972	454657	359611	519527	527720	440570	373776	336645	455452	357179	509124	610721	409494	563823	473703	477160	453794	392623	379808	378915	438258	365414	484203	489399	232941	403935	377923	379762	Metabolism; Carbohydrate Metabolism; Fructose and mannose metabolism
Function unknown	565520	663942	864330	712467	443995	435109	476474	610274	637313	554430	513104	658966	623293	656809	657243	569124	643338	552054	612076	636431	603764	601188	623512	512500	543108	639200	691102	692808	581111	522215	612377	634515	490976	609950	678129	656513	543411	519362	471146	549526	537436	828165	647993	518864	589698	632369	663876	514686	608807	916028	559708	416723	615375	506399	538032	706765	702655	600508	542867	602234	616273	672476	567562	486449	703483	475797	536501	479514	411610	766591	507654	360023	547101	669128	519145	462037	409109	558236	426769	419994	507403	622619	568590	706956	614349	562799	700603	832097	567263	516846	519780	542282	501472	907000	690969	549830	718737	635314	681452	550835	525968	503568	527901	574715	554742	746302	577179	288652	474716	554169	443705	Unclassified; Poorly Characterized; Function unknown
G protein-coupled receptors	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	2	3	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Environmental Information Processing; Signaling Molecules and Interaction; G protein-coupled receptors
GTP-binding proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Environmental Information Processing; Signaling Molecules and Interaction; GTP-binding proteins
Galactose metabolism	312816	403341	563598	421676	233491	236949	251291	356554	327859	311635	288940	359526	240630	378554	377106	336588	385219	298075	335997	374056	304818	289583	421432	278657	309651	370862	419811	417192	289342	268888	355436	369939	258960	333094	359213	387571	359142	303460	249163	274504	331124	465335	385181	268135	345905	274783	258650	264136	234757	461795	295438	216630	333858	266191	287738	397411	459716	330668	296777	343267	238039	391810	329170	265891	402127	257687	273337	264503	221891	365391	255760	196287	316559	375151	288689	225634	222361	270971	250226	223810	271764	311943	315846	361458	346258	311491	393267	358545	320494	280687	235912	320372	267337	341984	445936	304426	445421	345741	331596	324783	286750	276222	286164	332310	263390	403895	357252	170894	284561	275905	261439	Metabolism; Carbohydrate Metabolism; Galactose metabolism
